name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
PyTorchXLA,,https://pytorch.org/xla/release/2.1/index.html,logos/56585018fdef58028329687f94025e78d6de2f303e1375427e95af5e2e878703.svg,,,,,,,,,"PyTorch runs on XLA devices, like TPUs, with the torch_xla package.",,,,,,,,,,,,Optimizations,Compilers & Runtimes,,,,,,,,,,,,,,,,,,,,,,,,
raster-vision,,https://docs.rastervision.io/,logos/7f48d1f43ed40f3c3dda9f013919d00e801e756dabb5def767474c58f08cf117.svg,,,,,,,,,"Raster Vision is an open source library and framework for Python developers building computer vision models on satellite, aerial, and other large imagery sets (including oblique drone imagery). There is built-in support for chip classification, object detection, and semantic segmentation using PyTorch.",,,,,,,,,,,,Modeling,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Ray,,https://github.com/ray-project/ray,logos/3975c0f455d00dfab6b5c78281eb7c5dd6ffcf105bcc8c78764eb09a5ed534a6.svg,,,,,,,,,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,,,,,,,,,,,,Training,Distributed,,,,,,,,,,,,,,,,,,,,,,,,
Renate,,https://renate.readthedocs.io/en/latest/,logos/e9fb21ed75b6d1f586d07a501eb6f349489335f0bbc79c436f625b5f0e753577.svg,,,,,,,,,Renate is a Python package for automatic retraining of neural networks models. It uses advanced Continual Learning and Lifelong Learning algorithms to achieve this purpose.,,,,,,,,,,,,Training,Continuous Learning,,,,,,,,,,,,,,,,,,,,,,,,
RoMa,,https://naver.github.io/roma/,logos/854eb858a0e2e8dc7b30e28631988dfc00c97e1775f3e74f3f1b37e2010c5954.svg,,,,,,,,,"RoMa (which stands for Rotation Manipulation) provides differentiable mappings between 3D rotation representations, mappings from Euclidean to rotation space, and various utilities related to rotations.",,,,,,,,,,,,Modeling,3D,,,,,,,,,,,,,,,,,,,,,,,,
SimulAI,,https://ibm.github.io/simulai/,logos/52d2378814907baeac4813eba9000d2ac5fb8a804f9c7a621b96003bdc3738e2.svg,,,,,,,,,A toolkit with data-driven pipelines for physics-informed machine learning.,,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
skorch,,https://github.com/skorch-dev/skorch,logos/5fd4c8f1c65f2f5281e64ebe6b8e82bca7b16608042672804f452b8d8f2b1d98.svg,,,,,,,,,A scikit-learn compatible neural network library that wraps PyTorch.,,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
Speedster,,https://www.nebuly.com/,logos/ec9ec4b18b7c4f05d7caecffa57b81cf8639ba3442d8cbadba3b2bf53e806961.svg,,,,,,,,,Speedster reduces inference costs by leveraging SOTA optimization techniques that best couple your AI models with the underlying hardware (GPUs and CPUs).,,,,,,,,,,,,Optimizations,Compilers & Runtimes,,,,,,,,,,,,,,,,,,,,,,,,
Stable Baselines3,,https://stable-baselines3.readthedocs.io/,logos/a0f8f03828e020f203be7c6c0e19ccab88e2fe89feeaad3d517c79033bae9edf.svg,,,,,,,,,Stable Baselines3 (SB3) is a set of implementations of reinforcement learning algorithms,,,,,,,,,,,,Training,Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,
stoke,,https://fidelity.github.io/stoke/,logos/00076432de043a325ce5d921de4d7474db9c0f85e50fdc5f48ef3bc425417831.svg,,,,,,,,,"A lightweight wrapper for PyTorch that provides a simple declarative API for context switching between devices (e.g. CPU, GPU), distributed modes, mixed-precision, and PyTorch extensions. This allows you to switch from local full-precision CPU to mixed-precision distributed multi-GPU with extensions (like optimizer state sharding) by simply changing a few declarative flags.",,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
Substra,,https://docs.substra.org/,logos/57e63c3a4288f965a164da315553b98b67b369bbee4e6d9a24cdfd6cb43bc380.svg,,,,,,,,,Substra is used to run complex federated learning experiments at scale.,,,,,,,,,,,,Training,Federated Learning,,,,,,,,,,,,,,,,,,,,,,,,
tensordict,,https://pytorch.org/tensordict/stable/index.html,logos/786f206855ed9083bcca983901e4c387fcd90182d555b95254efbe6ca0abbd32.svg,,,,,,,,,"TensorDict is a dictionary-like class that inherits properties from tensors, such as indexing, shape operations, casting to device etc.",,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
TensorLy,,http://tensorly.org/,logos/d4d2be7563e5a626bf144163697a53e71a99556dc4fdeb8b614bdc7a24793a6e.svg,,,,,,,,,"TensorLy is a Python library that aims at making tensor learning simple and accessible. It allows to easily perform tensor decomposition, tensor learning and tensor algebra. Its backend system allows to seamlessly perform computation with NumPy, PyTorch, JAX, TensorFlow, CuPy or Paddle, and run methods at scale on CPU or GPU.",,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
TextBrewer,,http://textbrewer.hfl-rc.com/,logos/118f11cf04792d06063ccac1204986dcba4db290f95137e3dca685a27b15bb3d.svg,,,,,,,,,A PyTorch-based knowledge distillation toolkit for natural language processing,,,,,,,,,,,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,
TIAToolbox,,https://warwick.ac.uk/fac/cross_fac/tia/,logos/ba4859ff6d65b65bc3b5e1a48fdffcb34c3d0ff8435c11eb1f1aac0120c1224d.svg,,,,,,,,,TIAToolbox is a computational pathology toolbox for pathology image analysis.,,,,,,,,,,,,Modeling,Medical & Biology,,,,,,,,,,,,,,,,,,,,,,,,
Torch-TensorRT,,https://pytorch.org/TensorRT/,logos/07dbeb39c385db2b246f1fb02d2534f65455facf03f6249afc3eaf34baaddfc1.svg,,,,,,,,,"Torch-TensorRT is a inference compiler for PyTorch, targeting NVIDIA GPUs via NVIDIA’s TensorRT Deep Learning Optimizer and Runtime.",,,,,,,,,,,,Optimizations,Compilers & Runtimes,,,,,,,,,,,,,,,,,,,,,,,,
torchao,,https://pytorch.org/blog/pytorch-native-architecture-optimization/,logos/638990fe07bc0811e3fe713ae9ed527976ec7a9fb6c85f5c7df7a35dc4067a97.svg,,,,,,,,,"PyTorch library for custom data types & optimizations. Quantize and sparsify weights, gradients, optimizers & activations for inference and training.",,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
torcharrow,,https://pytorch.org/torcharrow/beta/index.html,logos/c2dcd89ea2a9e0f9465d2a642e9a85f8811510080684404650682e812dfa7615.svg,,,,,,,,,TorchArrow is a torch.Tensor-like Python DataFrame library for data preprocessing in deep learning. It supports multiple execution runtimes and Arrow as a common format.,,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
torchaudio,,https://pytorch.org/audio/stable/index.html,logos/0479b28282c205dfc796bdfdc0fdffde3f2cb227c4f384acfc82ba54559b73ba.svg,,,,,,,,,"Torchaudio is a library for audio and signal processing with PyTorch. It provides I/O, signal and data processing functions, datasets, model implementations and application components.",,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
torchdata,,https://pytorch.org/data/beta/index.html,logos/2d63d0eea40b76911bc64e1ea12a1520283429536287f6ed018c68dca29547b9.svg,,,,,,,,,A Beta library of common modular data loading primitives for easily constructing flexible and performant data pipelines.,,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
torchdistill,,https://yoshitomo-matsubara.net/torchdistill/,logos/00e6cd8399a844be633526e835a2bff2a35c27c464134204177f96b484d0b393.svg,,,,,,,,,Offers various state-of-the-art knowledge distillation methods and enables you to design (new) experiments simply by editing a declarative yaml config file.,,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
TorchDrift,,https://torchdrift.org/,logos/7b94cddf3ba924eb7e58f6fb4fb6dab03b4874f5331cf51e61fe7ea15b413d31.svg,,,,,,,,,TorchDrift is a data and concept drift library for PyTorch. It lets you monitor your PyTorch models to see if they operate within spec.,,,,,,,,,,,,Modeling,Adversarial & Robustness,,,,,,,,,,,,,,,,,,,,,,,,
torchdrug,,https://torchdrug.ai/,logos/3bfe1124b8618af6e41b5f3da074e88c2bd2ed7a6e1e70cf35dad2f2ecd2ed51.svg,,,,,,,,,A powerful and flexible machine learning platform for drug discovery,,,,,,,,,,,,Modeling,Medical & Biology,,,,,,,,,,,,,,,,,,,,,,,,
torchgeo,,https://www.osgeo.org/projects/torchgeo/,logos/0f021d5c7b0d805439d23e941b0a743d16b7cf89fa11b5cc9c19a53d44549420.svg,,,,,,,,,"TorchGeo is a toolkit containing datasets, samplers, transforms, and pre-trained models for geospatial data.",,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
TorchIO,,http://www.torchio.org/,logos/3f53485d82e837e49ad8c2f5b2ca860ac321809c9d7a50f6f4029c49911a158f.svg,,,,,,,,,Medical imaging toolkit for deep learning,,,,,,,,,,,,Modeling,Medical & Biology,,,,,,,,,,,,,,,,,,,,,,,,
TorchMetrics,,https://lightning.ai/docs/torchmetrics/,logos/fe7ab2ceb03b0c3b20725bb4810500052a76b2285265de910812dfa0abbbdf6c.svg,,,,,,,,,"Machine learning metrics for distributed, scalable PyTorch applications.",,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
Torchopt,,https://torchopt.readthedocs.io/en/latest/,logos/fa7428c96683f978432a500f84b389bd2f5a07cb9738885282a728a9015c5cfd.svg,,,,,,,,,An efficient library for differentiable optimization built upon PyTorch,,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
TorchQuantum,,https://hanruiwanghw.wixsite.com/torchquantum,logos/eba8a1f3cf2a73d23a295af0b6e67dcb61560ca1630acae2f929fea8cd863b90.svg,,,,,,,,,"A framework for Quantum Classical Simulation, Quantum Machine Learning, Quantum Neural Networks, Parameterized Quantum Circuits with support for easy deployments on real quantum computers.",,,,,,,,,,,,Training,Quantum,,,,,,,,,,,,,,,,,,,,,,,,
torchrec,,https://pytorch.org/torchrec/,logos/6ad59498ae22cd620301645c5c98cdecf5045d2dbe9c02a202c7b754d3c7e1b3.svg,,,,,,,,,"TorchRec is a specialized library within the PyTorch ecosystem, tailored for building, scaling, and deploying large-scale recommendation systems,",,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
torchrl,,https://pytorch.org/rl/stable/index.html,logos/9e21fff2d388248fd441ac537ca6fbe214c487bd4c9750fdd08ffe7f42c6c111.svg,,,,,,,,,TorchRL is an open-source Reinforcement Learning (RL) library for PyTorch.,,,,,,,,,,,,Modeling,Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,
torchtext,,https://pytorch.org/text/stable/index.html,logos/669e1ddb462a51c65757bb21449a8fd161ac796f473c5ee13e67b9ce73d5b784.svg,,,,,,,,,The torchtext package consists of data processing utilities and popular datasets for natural language.,,,,,,,,,,,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,
torchtune,,https://pytorch.org/torchtune/stable/index.html,logos/650fb24df4978fa6e25d08237b9998598b04c608e482d0a3a1de3716ace1687a.svg,,,,,,,,,A Native-PyTorch library for LLM fine-tuning.,,,,,,,,,,,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,
torchvision,,https://pytorch.org/vision/stable/index.html,logos/13688abf6c8188d41c1d80ebeb359bcbc4a572316d5f2601de39c1cf67abe6c5.svg,,,,,,,,,"The torchvision package consists of popular datasets, model architectures, and common image transformations for computer vision.",,,,,,,,,,,,Modeling,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Transformers,,https://huggingface.co/transformers,logos/22ee2a64b64ec10d3f8665a2c99fe71389da44d177ce9688632c462e8627224b.svg,,,,,,,,,"Transformers provides thousands of pretrained models to perform tasks on different modalities such as text, vision, and audio.",,,,,,,,,,,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,
USB,,https://usb.readthedocs.io/en/main/,logos/ba2f979d55cfe3b448250c198b2c08437accb672f3f21600f0b3c979a399c9e7.svg,,,,,,,,,"Benchmark tool for developing and evaluating Semi-suprevised learning algorithms.  Includes an implementation of 14 SSL algorithms and 15 tasks for evaluation for CV, NLP, and Audio",,,,,,,,,,,,Modeling,Multimodal,,,,,,,,,,,,,,,,,,,,,,,,
VISSL,,https://vissl.ai/,logos/016493ec5173a2af3effb4dd26c934658094910366ce5258a8b1534a7d6e5027.svg,,,,,,,,,A library for state-of-the-art self-supervised learning from images,,,,,,,,,,,,Modeling,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Zeus,,https://ml.energy/zeus/,logos/88fe3408a97b0da3dfbd5328126047c69b1627ea7655a2379de2169c0dc701c2.svg,,,,,,,,,Zeus is a library for measuring the energy consumption of Deep Learning workloads and optimizing their energy consumption.,,,,,,,,,,,,Optimizations,General,,,,,,,,,,,,,,,,,,,,,,,,
